2025-01-06 09:41:58.186 [info] Extension host with pid 7633 started
2025-01-06 09:41:58.186 [info] Skipping acquiring lock for /home/louhab/www/social-media-app/louhab/User/workspaceStorage/20322defdb66fccefbf89fb5502b26b0.
2025-01-06 09:41:59.333 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2025-01-06 09:41:59.833 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*'
2025-01-06 09:41:59.920 [info] ExtensionService#_doActivateExtension vscode.npm, startup: true, activationEvent: 'workspaceContains:package.json'
2025-01-06 09:42:00.100 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2025-01-06 09:42:00.516 [info] Eager extensions activated
2025-01-06 09:42:01.031 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2025-01-06 09:42:01.057 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2025-01-06 09:42:06.022 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2025-01-06 09:42:06.132 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2025-01-06 09:42:06.205 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
2025-01-06 09:42:06.581 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
